Designator,Mid X,Mid Y,Rotation,Layer
C1,133.68,-98.5,0.0,top
C2,151.0,-77.0,0.0,top
C3,174.567621,-82.0,0.0,top
D1,149.15,-84.0,0.0,top
D2,135.0,-106.655,270.0,top
FID1,127.5,-73.0,0.0,top
FID2,127.5,-112.5,0.0,top
FID3,167.5,-112.5,0.0,top
J1,124.0,-94.0,270.0,top
J2,174.5,-92.0,90.0,top
J3,155.27424,-96.525338,0.0,top
J4,139.975,-96.48,180.0,top
J5,163.0,-106.75,270.0,top
J6,174.5,-105.5,90.0,top
L1,164.0,-78.5,0.0,top
Q1,163.0725,-92.16,90.0,top
R1,132.18,-98.5,0.0,top
R2,142.82,-92.0,0.0,top
R3,136.5,-106.655,270.0,top
R4,142.82,-89.0,180.0,top
R5,131.82,-89.5,0.0,top
U2,134.625,-79.6,180.0,top
U3,132.5,-94.0,0.0,top
